sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"IsaPhone","15.0",,"HeadphoneAudioExposure","dBASPL",2021-10-03 12:20:46 -0600,2021-10-03 12:19:26 -0600,2021-10-03 12:19:27 -0600,0
"IsaPhone","15.0",,"HeadphoneAudioExposure","dBASPL",2021-10-04 15:45:39 -0600,2021-10-04 15:34:39 -0600,2021-10-04 15:48:04 -0600,84.0861
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:27:49 -0600,2021-07-21 13:16:48 -0600,2021-07-21 13:29:23 -0600,63.6534
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:37:47 -0600,2021-07-21 13:29:23 -0600,2021-07-21 13:34:22 -0600,56.0765
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:37:47 -0600,2021-07-21 13:34:22 -0600,2021-07-21 13:49:39 -0600,64.1037
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:49:39 -0600,2021-07-21 13:51:04 -0600,68.3413
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:51:04 -0600,2021-07-21 13:51:43 -0600,73.072
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:51:43 -0600,2021-07-21 13:52:19 -0600,67.7385
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:52:19 -0600,2021-07-21 13:53:20 -0600,57.2107
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:53:20 -0600,2021-07-21 13:53:38 -0600,55.4472
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 13:57:44 -0600,2021-07-21 13:53:38 -0600,2021-07-21 14:16:37 -0600,64.8379
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 14:27:37 -0600,2021-07-21 14:16:37 -0600,2021-07-21 14:41:35 -0600,64.0532
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 14:47:33 -0600,2021-07-21 14:41:35 -0600,2021-07-21 14:41:41 -0600,65.3599
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 14:47:33 -0600,2021-07-21 14:41:53 -0600,2021-07-21 14:41:56 -0600,58.048
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 15:32:35 -0600,2021-07-21 14:47:49 -0600,2021-07-21 14:47:52 -0600,0
"IsaPhone","14.6","<<HKDevice: 0x282c9ed50>, name:BT-01, manufacturer:0x5ac, model:0x220, localIdentifier:41:42:EC:4C:7B:BB-tacl>","HeadphoneAudioExposure","dBASPL",2021-07-21 15:32:35 -0600,2021-07-21 15:31:32 -0600,2021-07-21 15:31:35 -0600,0
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:01:25 -0600,2021-09-22 09:00:30 -0600,2021-09-22 09:00:31 -0600,0
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:22:53 -0600,2021-09-22 09:12:22 -0600,2021-09-22 09:27:35 -0600,62.0252
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:33:23 -0600,2021-09-22 09:27:35 -0600,2021-09-22 09:28:02 -0600,65.8651
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:33:23 -0600,2021-09-22 09:28:02 -0600,2021-09-22 09:46:15 -0600,62.8224
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:53:20 -0600,2021-09-22 09:46:15 -0600,2021-09-22 09:47:43 -0600,62.298
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:53:20 -0600,2021-09-22 09:47:43 -0600,2021-09-22 09:48:32 -0600,61.2493
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:53:20 -0600,2021-09-22 09:48:32 -0600,2021-09-22 09:48:56 -0600,62.9245
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 09:53:20 -0600,2021-09-22 09:48:56 -0600,2021-09-22 10:12:15 -0600,60.8215
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:23:16 -0600,2021-09-22 10:12:15 -0600,2021-09-22 10:14:31 -0600,62.1758
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:23:16 -0600,2021-09-22 10:14:31 -0600,2021-09-22 10:15:34 -0600,62.5496
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:23:16 -0600,2021-09-22 10:15:34 -0600,2021-09-22 10:26:35 -0600,62.2098
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:33:14 -0600,2021-09-22 10:26:35 -0600,2021-09-22 10:26:56 -0600,61.7827
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:33:14 -0600,2021-09-22 10:26:56 -0600,2021-09-22 10:27:23 -0600,60.8418
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:33:14 -0600,2021-09-22 10:27:23 -0600,2021-09-22 10:28:29 -0600,61.7373
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:33:14 -0600,2021-09-22 10:28:29 -0600,2021-09-22 10:32:00 -0600,61.9332
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:33:14 -0600,2021-09-22 10:32:00 -0600,2021-09-22 10:32:48 -0600,59.6192
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:36:39 -0600,2021-09-22 10:32:48 -0600,2021-09-22 10:33:12 -0600,60.8586
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:36:39 -0600,2021-09-22 10:33:12 -0600,2021-09-22 10:34:18 -0600,60.6578
"IsaPhone","14.7.1",,"HeadphoneAudioExposure","dBASPL",2021-09-22 10:36:39 -0600,2021-09-22 10:34:18 -0600,2021-09-22 10:36:37 -0600,58.8608
"IsaPhone","13.0","<<HKDevice: 0x282c9b020>, name:EarPods, manufacturer:Apple Inc., localIdentifier:Wired Headphones>","HeadphoneAudioExposure","dBASPL",2019-09-20 09:28:50 -0600,2019-09-20 08:59:25 -0600,2019-09-20 09:28:48 -0600,57.8806
