sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Oura","6098",,"RespiratoryRate","count/min",2022-01-17 06:22:10 -0600,2022-01-16 03:30:43 -0600,2022-01-16 03:31:43 -0600,15.5
"Oura","6098",,"RespiratoryRate","count/min",2022-01-18 08:40:05 -0600,2022-01-17 03:22:01 -0600,2022-01-17 03:23:01 -0600,14.625
"Oura","6098",,"RespiratoryRate","count/min",2022-01-19 07:12:33 -0600,2022-01-18 04:13:30 -0600,2022-01-18 04:14:30 -0600,14.875
"Oura","6098",,"RespiratoryRate","count/min",2022-01-20 08:21:46 -0600,2022-01-19 02:44:33 -0600,2022-01-19 02:45:33 -0600,14.375
"Oura","6098",,"RespiratoryRate","count/min",2022-01-21 07:46:59 -0600,2022-01-20 02:55:43 -0600,2022-01-20 02:56:43 -0600,15.5
"Oura","6098",,"RespiratoryRate","count/min",2022-01-22 09:13:07 -0600,2022-01-21 04:37:24 -0600,2022-01-21 04:38:24 -0600,15.25
"Oura","6098",,"RespiratoryRate","count/min",2022-01-23 07:50:03 -0600,2022-01-22 04:12:57 -0600,2022-01-22 04:13:57 -0600,15.875
"Oura","6098",,"RespiratoryRate","count/min",2022-01-24 06:22:39 -0600,2022-01-23 04:53:35 -0600,2022-01-23 04:54:35 -0600,17.125
"Oura","6098",,"RespiratoryRate","count/min",2022-01-25 07:31:38 -0600,2022-01-24 03:26:36 -0600,2022-01-24 03:27:36 -0600,16
"Oura","6098",,"RespiratoryRate","count/min",2022-01-26 07:28:46 -0600,2022-01-25 03:24:32 -0600,2022-01-25 03:25:32 -0600,14.75
"Oura","6098",,"RespiratoryRate","count/min",2022-01-27 05:57:54 -0600,2022-01-26 03:20:41 -0600,2022-01-26 03:21:41 -0600,14.75
"Oura","6098",,"RespiratoryRate","count/min",2022-01-28 07:43:18 -0600,2022-01-27 03:03:00 -0600,2022-01-27 03:04:00 -0600,15
"Oura","6098",,"RespiratoryRate","count/min",2022-01-29 09:04:53 -0600,2022-01-28 03:23:06 -0600,2022-01-28 03:24:06 -0600,15.75
"Oura","6098",,"RespiratoryRate","count/min",2022-01-30 08:23:07 -0600,2022-01-29 03:58:19 -0600,2022-01-29 03:59:19 -0600,14.875
"Oura","6098",,"RespiratoryRate","count/min",2022-01-31 07:15:10 -0600,2022-01-30 04:02:34 -0600,2022-01-30 04:03:34 -0600,15.125
"Oura","6098",,"RespiratoryRate","count/min",2022-02-01 07:59:45 -0600,2022-01-31 03:28:06 -0600,2022-01-31 03:29:06 -0600,15.5
"Oura","6098",,"RespiratoryRate","count/min",2022-02-02 09:04:25 -0600,2022-02-01 03:28:54 -0600,2022-02-01 03:29:54 -0600,14.25
"Oura","6151",,"RespiratoryRate","count/min",2022-02-03 08:20:11 -0600,2022-02-02 03:28:56 -0600,2022-02-02 03:29:56 -0600,14.875
"Oura","6151",,"RespiratoryRate","count/min",2022-02-04 07:27:03 -0600,2022-02-03 03:32:05 -0600,2022-02-03 03:33:05 -0600,15.5
"Oura","6151",,"RespiratoryRate","count/min",2022-02-05 08:22:17 -0600,2022-02-04 03:01:18 -0600,2022-02-04 03:02:18 -0600,16.125
"Oura","6151",,"RespiratoryRate","count/min",2022-02-06 07:03:54 -0600,2022-02-05 04:05:05 -0600,2022-02-05 04:06:05 -0600,15.625
"Oura","6151",,"RespiratoryRate","count/min",2022-02-07 07:36:37 -0600,2022-02-06 03:33:03 -0600,2022-02-06 03:34:03 -0600,15.125
"Oura","6151",,"RespiratoryRate","count/min",2022-02-08 06:19:12 -0600,2022-02-07 04:11:31 -0600,2022-02-07 04:12:31 -0600,15.625
"Oura","6151",,"RespiratoryRate","count/min",2022-02-09 07:29:55 -0600,2022-02-08 03:59:08 -0600,2022-02-08 04:00:08 -0600,15.75
"Oura","6151",,"RespiratoryRate","count/min",2022-02-10 07:19:53 -0600,2022-02-09 03:07:15 -0600,2022-02-09 03:08:15 -0600,15.25
"Oura","6151",,"RespiratoryRate","count/min",2022-02-11 07:51:01 -0600,2022-02-10 03:53:11 -0600,2022-02-10 03:54:11 -0600,15.125
"Oura","6151",,"RespiratoryRate","count/min",2022-02-12 08:48:17 -0600,2022-02-11 03:40:28 -0600,2022-02-11 03:41:28 -0600,15.25
"Oura","6151",,"RespiratoryRate","count/min",2022-02-13 08:56:06 -0600,2022-02-12 03:47:16 -0600,2022-02-12 03:48:16 -0600,15.625
"Oura","6151",,"RespiratoryRate","count/min",2022-02-15 10:09:02 -0600,2022-02-13 05:37:01 -0600,2022-02-13 05:38:01 -0600,15.125
"Oura","6151",,"RespiratoryRate","count/min",2022-02-16 10:04:46 -0600,2022-02-15 04:06:28 -0600,2022-02-15 04:07:28 -0600,14.5
"Oura","6151",,"RespiratoryRate","count/min",2022-02-17 05:51:31 -0600,2022-02-16 04:18:27 -0600,2022-02-16 04:19:27 -0600,15.625
"Oura","6181",,"RespiratoryRate","count/min",2022-02-18 06:30:17 -0600,2022-02-17 03:53:58 -0600,2022-02-17 03:54:58 -0600,14.5
"Oura","6181",,"RespiratoryRate","count/min",2022-02-19 08:49:58 -0600,2022-02-18 04:00:10 -0600,2022-02-18 04:01:10 -0600,14.75
"Oura","6181",,"RespiratoryRate","count/min",2022-02-20 10:09:18 -0600,2022-02-19 04:30:49 -0600,2022-02-19 04:31:49 -0600,15.375
"Oura","6181",,"RespiratoryRate","count/min",2022-02-21 06:58:05 -0600,2022-02-20 04:26:18 -0600,2022-02-20 04:27:18 -0600,14.75
"Oura","6181",,"RespiratoryRate","count/min",2022-02-22 07:50:52 -0600,2022-02-21 03:57:15 -0600,2022-02-21 03:58:15 -0600,14.375
"Oura","6181",,"RespiratoryRate","count/min",2022-02-23 06:52:29 -0600,2022-02-22 03:24:19 -0600,2022-02-22 03:25:19 -0600,14.5
"Oura","6181",,"RespiratoryRate","count/min",2022-02-24 06:26:18 -0600,2022-02-23 02:50:57 -0600,2022-02-23 02:51:57 -0600,15.375
"Oura","6181",,"RespiratoryRate","count/min",2022-02-25 07:14:07 -0600,2022-02-24 03:04:31 -0600,2022-02-24 03:05:31 -0600,15
"Oura","6181",,"RespiratoryRate","count/min",2022-02-26 04:15:30 -0600,2022-02-25 04:14:57 -0600,2022-02-25 04:15:57 -0600,14.625
"Oura","6181",,"RespiratoryRate","count/min",2022-02-27 07:59:58 -0600,2022-02-26 04:01:15 -0600,2022-02-26 04:02:15 -0600,15.25
